0.00.019.798 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.019.815 W srv  llama_server: embeddings enabled with n_batch (2048) > n_ubatch (512)
0.00.019.817 W srv  llama_server: setting n_batch = n_ubatch = 512 to avoid assertion failure
0.00.019.923 I srv          init: The UI is disabled
0.00.019.924 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.022.426 I srv    load_model: loading model 'models/bge-small-en-v1.5-q8.gguf'
0.00.088.449 W load: special_eos_id is not in special_eog_ids - the tokenizer config may be incorrect
0.00.107.581 W srv    load_model: speculative decoding not supported by this context
0.00.107.587 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 512, kv_unified = 'true'
0.00.110.368 I srv  llama_server: model loaded
0.00.110.375 I srv  llama_server: listening on http://127.0.0.1:8090
3.23.340.006 I slot      release: id  1 | task 96 | stop processing: n_tokens = 9, truncated = 0
3.23.340.988 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 203223515
3.23.340.996 I slot launch_slot_: id  0 | task 98 | processing task, is_child = 0
3.23.344.714 I slot      release: id  0 | task 98 | stop processing: n_tokens = 18, truncated = 0
3.23.345.556 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.111 (> 0.100 thold), f_keep = 0.056
3.23.345.562 I slot launch_slot_: id  0 | task 100 | processing task, is_child = 0
3.23.347.680 I slot      release: id  0 | task 100 | stop processing: n_tokens = 9, truncated = 0
3.23.369.347 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.111 (> 0.100 thold), f_keep = 0.111
3.23.369.359 I slot launch_slot_: id  0 | task 102 | processing task, is_child = 0
3.23.371.577 I slot      release: id  0 | task 102 | stop processing: n_tokens = 9, truncated = 0
3.23.372.659 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.143 (> 0.100 thold), f_keep = 0.111
3.23.372.666 I slot launch_slot_: id  0 | task 104 | processing task, is_child = 0
3.23.374.480 I slot      release: id  0 | task 104 | stop processing: n_tokens = 7, truncated = 0
3.23.375.430 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 203234095
