0.00.019.696 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.019.710 W srv  llama_server: embeddings enabled with n_batch (2048) > n_ubatch (512)
0.00.019.714 W srv  llama_server: setting n_batch = n_ubatch = 512 to avoid assertion failure
0.00.019.817 I srv          init: The UI is disabled
0.00.019.820 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.026.316 I srv    load_model: loading model './models/bge-small-en-v1.5-q8.gguf'
0.00.093.894 W load: special_eos_id is not in special_eog_ids - the tokenizer config may be incorrect
0.00.115.649 W srv    load_model: speculative decoding not supported by this context
0.00.115.655 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 512, kv_unified = 'true'
0.00.119.153 I srv  llama_server: model loaded
0.00.119.159 I srv  llama_server: listening on http://127.0.0.1:8091
0.07.834.262 I slot launch_slot_: id  0 | task 52 | processing task, is_child = 0
0.07.836.731 I slot      release: id  0 | task 52 | stop processing: n_tokens = 8, truncated = 0
0.07.838.141 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.143 (> 0.100 thold), f_keep = 0.125
0.07.838.149 I slot launch_slot_: id  0 | task 54 | processing task, is_child = 0
0.07.840.378 I slot      release: id  0 | task 54 | stop processing: n_tokens = 7, truncated = 0
0.07.866.301 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.111 (> 0.100 thold), f_keep = 0.143
0.07.866.313 I slot launch_slot_: id  0 | task 56 | processing task, is_child = 0
0.07.868.737 I slot      release: id  0 | task 56 | stop processing: n_tokens = 9, truncated = 0
0.07.882.378 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 7633073
0.07.882.385 I slot launch_slot_: id  3 | task 58 | processing task, is_child = 0
0.07.885.500 I slot      release: id  3 | task 58 | stop processing: n_tokens = 18, truncated = 0
0.07.898.283 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.125 (> 0.100 thold), f_keep = 0.056
0.07.898.291 I slot launch_slot_: id  3 | task 60 | processing task, is_child = 0
0.07.900.515 I slot      release: id  3 | task 60 | stop processing: n_tokens = 8, truncated = 0
0.07.914.222 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 7695629
0.07.914.228 I slot launch_slot_: id  2 | task 62 | processing task, is_child = 0
0.07.916.657 I slot      release: id  2 | task 62 | stop processing: n_tokens = 12, truncated = 0
0.07.930.285 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.167 (> 0.100 thold), f_keep = 0.083
0.07.930.292 I slot launch_slot_: id  2 | task 64 | processing task, is_child = 0
0.07.932.508 I slot      release: id  2 | task 64 | stop processing: n_tokens = 6, truncated = 0
0.07.945.367 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 7739215
0.07.945.375 I slot launch_slot_: id  1 | task 66 | processing task, is_child = 0
0.07.949.465 I slot      release: id  1 | task 66 | stop processing: n_tokens = 22, truncated = 0
0.07.961.279 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.143 (> 0.100 thold), f_keep = 0.045
0.07.961.287 I slot launch_slot_: id  1 | task 68 | processing task, is_child = 0
0.07.963.828 I slot      release: id  1 | task 68 | stop processing: n_tokens = 7, truncated = 0
0.07.976.823 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.125 (> 0.100 thold), f_keep = 0.143
0.07.976.832 I slot launch_slot_: id  1 | task 70 | processing task, is_child = 0
0.07.979.039 I slot      release: id  1 | task 70 | stop processing: n_tokens = 8, truncated = 0
0.07.992.768 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.125 (> 0.100 thold), f_keep = 0.125
