0.00.242.557 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.242.573 W srv  llama_server: embeddings enabled with n_batch (2048) > n_ubatch (512)
0.00.242.575 W srv  llama_server: setting n_batch = n_ubatch = 512 to avoid assertion failure
0.00.242.674 I srv          init: The UI is disabled
0.00.242.674 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.250.721 I srv    load_model: loading model './models/bge-small-en-v1.5-q8.gguf'
0.00.322.723 W load: special_eos_id is not in special_eog_ids - the tokenizer config may be incorrect
0.00.343.356 W srv    load_model: speculative decoding not supported by this context
0.00.343.362 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 512, kv_unified = 'true'
0.00.346.563 I srv  llama_server: model loaded
0.00.346.570 I srv  llama_server: listening on http://127.0.0.1:8091
3.00.536.616 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.286 (> 0.100 thold), f_keep = 0.250
3.00.536.625 I slot launch_slot_: id  1 | task 70 | processing task, is_child = 0
3.00.538.415 I slot      release: id  1 | task 70 | stop processing: n_tokens = 7, truncated = 0
3.00.540.612 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.250 (> 0.100 thold), f_keep = 0.143
3.00.540.620 I slot launch_slot_: id  1 | task 72 | processing task, is_child = 0
3.00.542.203 I slot      release: id  1 | task 72 | stop processing: n_tokens = 4, truncated = 0
3.00.544.555 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.400 (> 0.100 thold), f_keep = 0.500
3.00.544.564 I slot launch_slot_: id  1 | task 74 | processing task, is_child = 0
3.00.546.085 I slot      release: id  1 | task 74 | stop processing: n_tokens = 5, truncated = 0
3.00.548.334 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.111 (> 0.100 thold), f_keep = 0.200
3.00.548.344 I slot launch_slot_: id  1 | task 76 | processing task, is_child = 0
3.00.550.735 I slot      release: id  1 | task 76 | stop processing: n_tokens = 9, truncated = 0
3.00.552.899 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.833 (> 0.100 thold), f_keep = 0.556
3.00.552.905 I slot launch_slot_: id  1 | task 78 | processing task, is_child = 0
3.00.554.855 I slot      release: id  1 | task 78 | stop processing: n_tokens = 6, truncated = 0
3.00.556.753 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.111 (> 0.100 thold), f_keep = 0.167
3.00.556.763 I slot launch_slot_: id  1 | task 80 | processing task, is_child = 0
3.00.559.076 I slot      release: id  1 | task 80 | stop processing: n_tokens = 9, truncated = 0
3.00.561.088 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.833 (> 0.100 thold), f_keep = 0.556
3.00.561.097 I slot launch_slot_: id  1 | task 82 | processing task, is_child = 0
